,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
124538,ESPECIAL,4.6371582323645,5.0252154,-74.071350585412,-74.0011074,01:14:00,1.2333333333333334,43.89544248368857,35.59089931109884
124564,MOTO,4.7167432,5.0252154,-74.2117265,-74.0011074,01:00:00,1.0,41.53215195796908,41.53215195796908
124566,ESPECIAL,4.7102423,5.0252154,-74.2144199,-74.0011074,01:00:00,1.0,42.298899311707416,42.298899311707416
124607,TPC-SITP,4.4914494,5.0252154,-74.259146,-74.0011074,04:53:00,4.883333333333333,65.95454600615756,13.506050376687556
124609,INTERMUNICIPAL,4.7114066002054,5.0252154,-74.024900850355,-74.0011074,01:10:00,1.1666666666666667,35.03262768074681,30.027966583497268
124613,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:00:00,1.0,18.57642995976313,18.57642995976313
124615,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:00:00,1.0,18.57642995976313,18.57642995976313
124638,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:37:00,1.6166666666666667,18.57642995976313,11.490575232843172
124739,Transmilenio,4.6098961376723,5.0252154,-74.073761282293,-74.0011074,02:48:00,2.8,46.930357622865024,16.76084200816608
124749,MOTO,4.8648572,5.0252154,-74.047458,-74.0011074,01:00:00,1.0,18.57642995976313,18.57642995976313
124755,MOTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
124757,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,01:15:00,1.25,12.114400517096264,9.691520413677011
124759,Transmilenio,4.6137055734999,5.0252154,-74.071118616405,-74.0011074,02:19:00,2.3166666666666664,46.46275044500532,20.05586350144115
124761,Transmilenio,4.6137055734999,5.0252154,-74.071118616405,-74.0011074,02:19:00,2.3166666666666664,46.46275044500532,20.05586350144115
124763,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
124775,MOTO,4.8648572,5.0252154,-74.047458,-74.0011074,00:30:00,0.5,18.57642995976313,37.15285991952626
124777,MOTO,4.8121976075214,5.0252154,-74.027853718189,-74.0011074,01:00:00,1.0,23.897886445451533,23.897886445451533
